[main] 2021-07-12 17:13:09 INFO  com.product.main.ProductMain  - 5)By Manufacturer Name
[main] 2021-07-12 17:13:09 INFO  com.product.main.ProductMain  - 6)Main Menu
[main] 2021-07-12 17:13:09 INFO  com.product.main.ProductMain  - Enter your Choice 1-6
[main] 2021-07-12 17:13:13 INFO  com.product.main.ProductMain  - Enter Manufacturer Name to get the products Manufactured By them
[main] 2021-07-12 17:13:18 ERROR com.product.dao.impl.ProductDAOImpl  - org.postgresql.util.PSQLException: ERROR: relation "product_schema.product" does not exist
  Position: 67
[main] 2021-07-12 17:13:18 ERROR com.product.main.ProductMain  - Internal error occured... Kindly conatct SYSADMIN........
[main] 2021-07-12 17:13:18 INFO  com.product.main.ProductMain  - 

Search Product Menu.Use Various filters below to search your Product.....
[main] 2021-07-12 17:13:18 INFO  com.product.main.ProductMain  - ---------------------------------------------------------------------------------------
[main] 2021-07-12 17:13:18 INFO  com.product.main.ProductMain  - 1)By ID
[main] 2021-07-12 17:13:18 INFO  com.product.main.ProductMain  - 2)By Name
[main] 2021-07-12 17:13:18 INFO  com.product.main.ProductMain  - 3)By Rating
[main] 2021-07-12 17:13:18 INFO  com.product.main.ProductMain  - 4)By Cost
[main] 2021-07-12 17:13:18 INFO  com.product.main.ProductMain  - 5)By Manufacturer Name
[main] 2021-07-12 17:13:18 INFO  com.product.main.ProductMain  - 6)Main Menu
[main] 2021-07-12 17:13:18 INFO  com.product.main.ProductMain  - Enter your Choice 1-6
[main] 2021-07-12 17:13:53 INFO  com.product.main.ProductMain  - Welcome to ProductApp V1.0
[main] 2021-07-12 17:13:53 INFO  com.product.main.ProductMain  - ==================================
[main] 2021-07-12 17:13:53 INFO  com.product.main.ProductMain  - 
Product Menu
[main] 2021-07-12 17:13:53 INFO  com.product.main.ProductMain  - 1)Create Product
[main] 2021-07-12 17:13:53 INFO  com.product.main.ProductMain  - 2)Update Product
[main] 2021-07-12 17:13:53 INFO  com.product.main.ProductMain  - 3)Delete Product
[main] 2021-07-12 17:13:53 INFO  com.product.main.ProductMain  - 4)Search Products by Various Filters
[main] 2021-07-12 17:13:53 INFO  com.product.main.ProductMain  - 5)List All Products
[main] 2021-07-12 17:13:53 INFO  com.product.main.ProductMain  - 6)EXIT
